"Wavelength, µm","n"
0.003720466,0.9961135
0.003730516,0.99609433
0.003740486,0.99607987
0.003750597,0.99606444
0.003760497,0.99604327
0.003770507,0.99602686
0.003780518,0.99600898
0.003790558,0.99598932
0.003800568,0.99597463
0.003810499,0.99595807
0.003820539,0.99594318
0.003830459,0.99592829
0.00384057,0.99591088
0.00385055,0.99589683
0.0038605,0.99588409
0.003870541,0.99587077
0.003880521,0.9958617
0.003890501,0.99585414
0.003900522,0.99583831
0.003910472,0.99582422
0.003920582,0.99581875
0.003930563,0.99580892
0.003940513,0.99579709
0.003950533,0.99578416
0.003960544,0.99577085
0.003970584,0.99575738
0.003980494,0.99573902
0.003990475,0.99572188
0.004000495,0.99570614
0.004010515,0.9956783
0.004020526,0.9956419
0.004030536,0.99561028
0.004040516,0.99557897
0.004050537,0.99554335
0.004060587,0.99550731
0.004070498,0.99547407
0.004080458,0.99543793
0.004090528,0.99540842
0.004100538,0.99538982
0.004110509,0.9953803
0.004120499,0.99540267
0.004130519,0.99543094
0.00414054,0.9954484
0.00415051,0.99551921
0.004160561,0.99559496
0.004170531,0.99564109
0.004180551,0.99568614
0.004190542,0.99573483
0.004200492,0.99577802
0.004210532,0.99584481
0.004220533,0.99587617
0.004230593,0.99587601
0.004240543,0.99591781
0.004250544,0.9958947
0.004260534,0.99586202
0.004270564,0.99584932
0.004280555,0.99581867
0.004290515,0.99578808
0.004300525,0.99576763
0.004310496,0.99579759
0.004320576,0.99584706
0.004330506,0.99585233
0.004340487,0.9958637
0.004350537,0.99583171
0.004360507,0.99576266
0.004370578,0.99572662
0.004380568,0.99565852
0.004390518,0.99553393
0.004399519,0.99545052
0.004420289,0.99538135
0.0044405,0.99530548
0.004460621,0.99523082
0.004480671,0.99516748
0.004500712,0.9951091
0.004520693,0.99505429
0.004540743,0.99500575
0.004560754,0.99495944
0.004580775,0.99491509
0.004600745,0.99487589
0.004620736,0.99483857
0.004640767,0.99480352
0.004660757,0.99477133
0.004680748,0.99474087
0.004700699,0.99471071
0.004720779,0.99467864
0.00474071,0.99464793
0.004760771,0.99461844
0.004780741,0.99458693
0.004800792,0.99455469
0.004820763,0.99452268
0.004840754,0.99448941
0.004860774,0.99445829
0.004880715,0.99442809
0.004900815,0.99439806
0.004920766,0.99437061
0.004940787,0.99434599
0.004960737,0.99432401
0.004980788,0.99429963
0.005000749,0.9942765
0.0050207,0.99425704
0.00504081,0.99423768
0.005060721,0.99421726
0.005080801,0.99419597
0.005100702,0.99417521
0.005120773,0.99415412
0.005140774,0.99413037
0.005160804,0.99410157
0.005180725,0.99406934
0.005200786,0.99402973
0.005220756,0.99398691
0.005240727,0.99394398
0.005260768,0.99389665
0.005280778,0.9938464
0.005300759,0.99378899
0.00532073,0.9937301
0.00534076,0.99367662
0.005360781,0.99361903
0.005380772,0.99355987
0.005400782,0.99349958
0.005420783,0.99343674
0.005440744,0.99338078
0.005460775,0.99332989
0.005480835,0.99328673
